id,id_artist,num_samples,sr,duration_ms,bpm,centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,spectral_complexity_mean,spectral_complexity_std,pitch_mean,pitch_std,loudness_mean,loudness_std,silence_start_sec,silence_end_sec,silence_middle_total_sec,silence_middle_count,silence_middle_mean_sec,is_silent
TR770885,ART07024718,4079625,22050,185017.0068027211,99.38401442307692,1935.47814278152,829.8929549807804,4258.569890454417,2036.9394343924312,1.6438842,1.9237484,0.22206044,0.1018267,0.05988696923233781,0.036932553374149905,0.011238313,0.028680777,2307.7743443339623,687.1597826974353,87.35342240829964,72.55321935093865,-10.11342,14.077018,0.6,6.53,10.84,31,0.35,False
TR884950,ART25707984,4754177,22050,215608.9342403628,123.046875,2508.1656467095713,1205.571262839919,5608.619107918675,2245.0443174108,2.1335037,2.537931,0.28938988,0.15993449,0.0733972533417241,0.08026054919286263,0.022408407,0.05089705,2707.1036281937086,642.8025296000933,158.60840540553335,120.32968223328538,-8.926112,10.401081,5.8,1.82,10.33,99,0.1,False
TR113702,ART07024718,2734593,22050,124017.8231292517,123.046875,2419.147455715393,921.8441999365018,4949.335390902869,1980.8094307413694,1.970491,2.0493805,0.24127147,0.10586462,0.1112940312324504,0.0764182336649032,0.036524143,0.05951417,2473.68370486642,523.0621692602672,128.08651269471804,83.94851980428092,-7.828258,7.946227,0.42,1.14,2.28,8,0.28,False
TR300576,ART25707984,5642448,22050,255893.33333333334,86.1328125,2627.542759174063,907.4966340777506,5937.338706804765,1827.3273252950173,1.3973595,1.5178858,0.18946677,0.10196244,0.09857583675483168,0.0600720919852776,0.028962621,0.063608855,2762.2742333531764,504.3317765912087,97.44356897170063,61.723779676043904,-10.500402,10.696855,1.37,13.8,5.71,19,0.3,False
TR303682,ART07024718,3593386,22050,162965.3514739229,123.046875,2780.493031912816,1265.4133142429243,5882.399259209378,2319.0393073277028,1.7244018,1.9859018,0.28013673,0.13845861,0.1193981570113264,0.09887833321538218,0.032222304,0.07435098,2725.397365143725,619.3829447507601,134.49587876569788,105.03621356988344,-9.703144,9.611732,0.6,2.28,14.54,23,0.63,False
TR919804,ART07024718,4067841,22050,184482.5850340136,172.265625,2044.6989824241236,1032.672097125138,4523.8276118929725,2492.826365833945,1.3978537,1.4122082,0.25296378,0.11116787,0.07043798078435691,0.055826470433428595,0.015130795,0.049511388,2376.5832671268067,781.5307496011502,98.91169221192166,67.50382083513456,-8.522518,10.322451,0.28,8.45,0.88,5,0.18,False
TR511007,ART07024718,4717230,22050,213933.33333333334,112.34714673913044,2542.4120746720782,929.1050392519388,5678.019847832612,1796.012166713754,1.4436942,1.6036923,0.2891155,0.11729756,0.09026859814209355,0.06424981298889805,0.026355825,0.055896033,2697.0225972130206,508.8027791212833,95.48466547261647,55.920500578593824,-6.8349295,10.470585,17.0,3.51,1.9,10,0.19,False
TR591369,ART25707984,6235649,22050,282795.873015873,95.703125,2750.9129881838635,954.3989792537355,5989.03703360722,1880.9883305816895,2.0729897,2.3168256,0.20016204,0.14848953,0.10987867533866995,0.07352997129169445,0.0234798,0.033151563,2719.4110479800315,586.1679996513865,172.48315812158563,103.05824520383034,-12.897022,8.116894,0.09,0.79,39.73,347,0.11,False
TR991289,ART25707984,3190273,22050,144683.5827664399,89.10290948275862,2153.1064607518333,801.1268974036923,4753.45458984375,1868.697301386967,1.3712009,1.1156517,0.2740899,0.15012705,0.07423112940267972,0.04851038531976687,0.016997503,0.06623569,2487.4077250051137,482.0910843444095,128.58092035416405,100.4292512099066,-9.608214,9.388526,0.88,3.11,1.6,9,0.18,False
TR981948,ART25707984,3783192,22050,171573.3333333333,92.28515625,2545.2771871350305,920.4700786913222,6012.332557192997,1790.4655590683087,1.7835013,1.8965915,0.22997586,0.06629628,0.08859945872801082,0.06553730042146,0.026088193,0.03549291,2848.4162015053557,425.9864819880683,89.34389237825108,62.53067882891551,-4.719007,3.145981,0.0,0.09,0.16,5,0.03,False
TR854907,ART07024718,4287489,22050,194443.94557823127,143.5546875,2598.979126355499,1085.7902039619496,6094.185736357276,2458.622506904751,1.4414959,1.5188766,0.29820344,0.11462174,0.09977769356343284,0.07790712751546437,0.02665264,0.055244382,2846.5755822079936,726.5691718836197,83.83226749534118,57.700482001617885,-8.745855,11.953162,0.42,4.9,2.62,13,0.2,False
TR116528,ART07024718,4135937,22050,187570.83900226757,123.046875,2602.9123114249137,933.8859989718476,5737.18467511256,2071.131957286538,1.4671673,1.5225866,0.2171167,0.114870995,0.11844105135613937,0.08147017361101958,0.059990283,0.15385473,2663.280723422153,627.5907711811951,126.39853540216664,107.8603251344222,-11.523933,14.582214,2.02,0.05,9.87,23,0.43,False
TR832166,ART07024718,5204993,22050,236054.10430839,117.45383522727273,2305.0215451049103,814.0010610818434,5190.496330902829,1795.4923274573284,1.7817165,2.5572906,0.34408513,0.15930331,0.08456952487213534,0.059147380021507504,0.027500162,0.04391207,2534.5510911296697,512.25542154351,117.19966836810421,98.10943275429062,-7.9390497,9.204569,0.0,3.39,7.43,49,0.15,False
TR377739,ART07024718,4315626,22050,195720.0,123.046875,3009.4132381406025,876.2724719235206,6610.276950298078,1548.7393281062127,1.3806094,1.2254837,0.2989784,0.12707503,0.12565569527449874,0.08021664649688227,0.044311337,0.05487923,2915.777104602902,424.70299258792204,134.9337639157112,102.3283892973988,-8.674963,11.382595,4.53,5.25,4.44,18,0.25,False
