id,id_artist,num_samples,sr,centroid,rolloff,flux,rms,zcr,spectral_bw
TR955916,ART25707984,1323000,22050,"[2988.22093613 3220.36773295 2874.86816353 ... 2447.36827121 2582.50256894
 2713.94328088]","[6890.625      7019.82421875 6449.19433594 ... 5426.3671875  5867.79785156
 6556.86035156]",[0.        0.        0.        ... 1.5684474 1.0426912 1.7635124],[0.22999516 0.27413896 0.2982818  ... 0.47012505 0.45377526 0.39060614],[0.05029297 0.07275391 0.10058594 ... 0.08886719 0.07177734 0.04394531],"[3051.17296527 3105.85319874 2945.36682577 ... 2545.83094132 2726.86598211
 3081.90712984]"
TR636326,ART07024718,1323000,22050,"[4134.07602277 3418.2607612  2482.08297669 ... 2488.98438047 2432.27660684
 2107.11163202]","[8430.24902344 7719.65332031 6083.12988281 ... 6470.72753906 6427.66113281
 4931.10351562]",[0.         0.         0.         ... 0.20814867 0.35469112 0.4250157 ],[0.10606725 0.1526663  0.18588486 ... 0.15008128 0.15963197 0.14067045],[0.07226562 0.09765625 0.11865234 ... 0.08447266 0.08203125 0.06640625],"[3387.29011209 3169.78377321 2796.78446921 ... 3043.44775257 2932.85698815
 2649.75833404]"
TR403288,ART25707984,1323000,22050,"[2045.33195781 2054.06927549 1889.35259117 ... 2143.46158496 1662.14650265
 1563.92805295]","[5490.96679688 5523.26660156 4263.57421875 ... 5512.5        3779.07714844
 3380.71289062]",[0.        0.        0.        ... 1.6683486 3.2352855 1.0926445],[0.27982613 0.30143985 0.32449618 ... 0.39061603 0.42867023 0.38167787],[0.02148438 0.03662109 0.04833984 ... 0.06201172 0.05029297 0.03271484],"[2772.30106422 2773.40680174 2437.42537936 ... 2710.1670375  2225.40335837
 2128.42695131]"
TR480259,ART07024718,1323000,22050,"[3098.13177786 2824.16795807 2589.65323821 ... 2801.40767361 2852.18761522
 2943.49442181]","[6384.59472656 6244.62890625 6180.02929688 ... 6546.09375    6761.42578125
 7504.32128906]",[0.        0.        0.        ... 2.238075  0.9030616 1.2350281],[0.47623053 0.5694677  0.6470003  ... 0.39240262 0.36620846 0.32351395],[0.0546875  0.07617188 0.09326172 ... 0.11523438 0.13134766 0.10839844],"[2727.61881784 2741.02795415 2736.65810449 ... 2930.75491817 2959.31309347
 3134.48874193]"
TR609770,ART25707984,1323000,22050,"[2542.53505103 2754.08330076 3134.64258273 ... 2179.46164985 2187.65260744
 2182.44575819]","[5178.73535156 5738.59863281 6675.29296875 ... 6104.66308594 6126.19628906
 6136.96289062]",[0.        0.        0.        ... 0.5716777 0.5177881 0.8025179],[0.23433226 0.26372853 0.27145645 ... 0.22599143 0.22564119 0.19540395],[0.0390625  0.08935547 0.15771484 ... 0.05761719 0.06054688 0.046875  ],"[2324.92218681 2530.285484   2806.92203073 ... 2682.47987913 2692.882343
 2743.94599803]"
TR224256,ART25707984,1323000,22050,"[4788.22353885 5595.53164504 5941.7956296  ... 3568.10660536 3332.57238835
 3915.2620943 ]","[7655.05371094 8527.1484375  9000.87890625 ... 7461.25488281 7891.91894531
 8990.11230469]",[0.        0.        0.        ... 1.7457718 1.4367288 1.3894701],[0.05945453 0.07561254 0.08655214 ... 0.15226948 0.14093748 0.09820472],[0.20947266 0.36230469 0.45947266 ... 0.15039062 0.11523438 0.09619141],"[2749.83379679 2618.39110142 2680.15530624 ... 3093.71826576 3321.3362159
 3872.53487101]"
TR961564,ART25707984,1323000,22050,"[4068.92106568 4240.09115753 4119.72483919 ... 2167.87281323 2322.00032019
 2564.63071512]","[7676.58691406 7665.8203125  7601.22070312 ... 5307.93457031 5695.53222656
 6782.95898438]",[0.        0.        0.        ... 1.3194342 1.0107249 1.1915598],[0.30948216 0.3693715  0.40722072 ... 0.5679012  0.51887214 0.43785748],[0.11328125 0.17041016 0.21582031 ... 0.0234375  0.02050781 0.01611328],"[3022.67795442 2947.58935056 2901.4818767  ... 2782.79960958 2982.74829213
 3216.14372861]"
TR250056,ART25707984,1323000,22050,"[2298.67956837 2268.27544534 2285.95269294 ... 3028.6367989  3722.4476868
 4016.05897121]","[5264.86816406 5103.36914062 5028.00292969 ... 7127.49023438 7633.52050781
 7870.38574219]",[0.        0.        0.        ... 1.0479805 1.0251435 1.2913177],[0.16380098 0.20008136 0.22280517 ... 0.16011605 0.14635816 0.11418192],[0.05029297 0.07958984 0.10742188 ... 0.14257812 0.14892578 0.12695312],"[2624.55669894 2603.54660798 2538.12363155 ... 2931.20781727 3102.91761176
 3232.13304876]"
TR803061,ART25707984,1323000,22050,"[2066.27706018 2253.81610967 2740.24487828 ... 2605.1199398  3233.33601387
 2966.32149235]","[5749.36523438 6212.32910156 6869.09179688 ... 6029.296875   7332.05566406
 6912.15820312]",[0.         0.         0.         ... 0.89848804 0.5314007  0.6600364 ],[0.09122205 0.11697589 0.1375574  ... 0.24575575 0.21588798 0.17346564],[0.02636719 0.03173828 0.09716797 ... 0.11425781 0.11181641 0.08691406],"[2865.35968919 2929.72316855 3140.41941125 ... 2795.60283679 3188.05859248
 3113.01508007]"
TR660156,ART07024718,1323000,22050,"[1775.82135698 1617.95765349 2041.99034503 ... 2180.21246641 1645.02897533
 1596.54533553]","[3703.7109375  3133.08105469 4026.70898438 ... 5318.70117188 3305.34667969
 3326.87988281]",[0.        0.        0.        ... 2.1768303 3.684532  3.5105393],[0.12570468 0.1563548  0.18580101 ... 0.13408947 0.14450577 0.13370748],[0.03808594 0.0625     0.10009766 ... 0.12451172 0.078125   0.04492188],"[2024.40583422 1895.15839484 2268.95072785 ... 2769.44120278 1996.03766579
 2060.30807781]"
TR174989,ART25707984,1323000,22050,"[1500.33554129 1537.50762839 3015.34639261 ... 1729.4721148  1605.49960927
 1501.97056743]","[3240.74707031 3208.44726562 8171.85058594 ... 3456.07910156 3068.48144531
 2777.78320312]",[0.        0.        0.        ... 3.280581  1.8819486 1.4046549],[0.05360442 0.06344511 0.07691097 ... 0.20539986 0.17197771 0.1258263 ],[0.02099609 0.04882812 0.06005859 ... 0.05273438 0.0625     0.05761719],"[2101.55366692 2227.37810064 3382.61444399 ... 2319.72342558 2059.02663903
 1859.92806495]"
TR357474,ART07024718,1323000,22050,"[2870.90687447 2475.24141391 2043.96623184 ... 1885.82932305 1891.64496348
 2032.62472737]","[6836.79199219 6223.09570312 4295.87402344 ... 3671.41113281 3919.04296875
 4166.67480469]",[0.         0.         0.         ... 0.5654242  0.8292872  0.51254284],[0.1748185  0.2201766  0.25097325 ... 0.21152337 0.21288277 0.18037574],[0.05419922 0.07275391 0.08837891 ... 0.06396484 0.06738281 0.0546875 ],"[2994.8232047  2829.62087081 2560.89682349 ... 1804.72138627 1833.2917122
 1920.45191963]"
TR253898,ART07024718,1323000,22050,"[1093.10305989  883.31160145 1217.36175935 ... 2380.24106797 2394.41460456
 2405.88143541]","[1787.25585938  936.69433594 3456.07910156 ... 7116.72363281 7073.65722656
 7084.42382812]",[0.        0.        0.        ... 0.7215954 0.5669874 1.0314003],[0.36893082 0.45752746 0.5138908  ... 0.36133292 0.37086615 0.3297537 ],[0.00732422 0.01123047 0.01855469 ... 0.08886719 0.08203125 0.05859375],"[2019.05825947 1949.73519877 2390.10109531 ... 3024.34385368 2963.9181729
 2994.64571625]"
TR802307,ART07024718,1323000,22050,"[2808.9642819  3155.25565021 3020.70507341 ... 2876.67335296 2941.61013561
 2810.28742048]","[6621.45996094 7019.82421875 6922.92480469 ... 7719.65332031 8118.01757812
 7698.12011719]",[0.         0.         0.         ... 2.152489   0.48657995 0.5479058 ],[0.2811916  0.40047374 0.48717475 ... 0.49045017 0.5085311  0.43235764],[0.06054688 0.07324219 0.08300781 ... 0.05224609 0.04492188 0.03320312],"[2942.98385332 3070.9977562  3118.12375448 ... 3495.34350394 3658.80881351
 3410.4073295 ]"
TR198241,ART25707984,1323000,22050,"[ 825.72405537 1071.98388291 1397.54498285 ... 3376.01459333 2908.51580295
 2733.20202788]","[1399.65820312 1582.69042969 2734.71679688 ... 6804.4921875  6599.92675781
 6201.5625    ]",[0.        0.        0.        ... 1.6455647 2.7439156 3.6131375],[0.1429066  0.16335845 0.1881783  ... 0.2819265  0.28947493 0.2579999 ],[0.02001953 0.03564453 0.05078125 ... 0.08789062 0.08984375 0.07226562],"[1191.48080739 1770.24472063 2136.37649565 ... 3029.03359411 2883.14081187
 2771.16336994]"
